month,rho_lag1,rho_lag2,rho_lag3,nodes
2025-02,-0.10526143782350454,,,960
2025-03,0.09922009781849034,-0.12034607691311844,,960
2025-04,0.13498453298612914,0.15670599750101133,-0.1971753384390765,960
2025-05,0.3501799857413249,0.0045700695519642846,-0.1170726061412359,960
2025-06,0.3622549412602955,0.03903826752648079,0.016825380655717603,960
2025-07,0.6705393561432463,0.1974117392233015,-0.2592531220097855,960
2025-08,0.6101062134794984,0.5684092456137193,0.3555966209681187,960
2025-09,-0.1591189022229563,-0.0036313439612438436,0.12841906413609736,960
2025-10,0.368807283876391,-0.013564154548054173,0.017287571088645197,960
2025-11,0.3878436705773163,0.1440790887238037,0.1612260243822872,960
2025-12,-0.2922948498699017,-0.22768457820270047,-0.11829668086299487,960
2026-01,-0.2568062331267673,0.5476102528679462,0.37032869385866607,960
2026-02,0.2596178540638064,-0.20556439826198253,-0.09191463731205476,960
2026-03,0.3233146695369819,0.32442050050392535,-0.1993885261786104,960
2026-04,0.24784157725658243,0.0881778061829781,0.357247823716169,960
2026-05,-0.37409357116547537,-0.47879326391583227,-0.18964217587216173,960
2026-06,,,,0
2026-09,,,,0
