month,rho_lag1,rho_lag2,rho_lag3,nodes
2025-02,-0.03989041419899845,,,959
2025-03,0.24448521620824964,-0.08843571541054364,,959
2025-04,0.14080067990790887,0.1661653837465041,-0.16222395784102484,959
2025-05,0.26329642304922446,0.05414773679364513,-0.21882772801643946,959
2025-06,0.5529424943333883,0.048515916522307974,0.047326850623984,959
2025-07,0.67662522938494,0.34114760782904513,-0.2584774777961516,959
2025-08,0.6438033423738476,0.6227513857231306,0.4974257182764249,959
2025-09,-0.07773253098350746,0.059567351813457695,0.2012015434867598,959
2025-10,0.45427074095769493,0.08028277681819385,0.19854346283626484,959
2025-11,0.48926720780019733,0.17967110540259804,0.23067185699328682,959
2025-12,-0.23441810325327742,-0.2448885099415903,-0.2990688686389441,959
2026-01,-0.10708701485461712,0.7495445059177617,0.46859133837901085,959
2026-02,0.2648279237679134,0.10798440831741439,-0.09329360952053897,959
2026-03,0.2709571745764238,0.5158047152877715,0.07437588032199074,959
2026-04,0.34035469296995996,0.0023655682229435588,0.603860642085162,959
2026-05,-0.38129311443580066,-0.4828168982919677,-0.12495951475534658,959
2026-06,,,,0
2026-09,,,,0
