lookback_days,entry,cost,net_pnl,gross_pnl,fees,node_hours_traded,net_per_node_hour,avg_nodes_held,days_active,hit_rate_days,sharpe_daily_ann,max_drawdown,top1pct_hours_share_of_gross,inc_share,primary
30,2.0,1.0,3019563.002500003,8081381.0025,5061818.0,5061818,0.5965372525246865,398.5997322623829,510,0.49019607843137253,0.33748274972115666,-5224181.259999996,0.26829970410570403,0.9209665381094303,True
60,2.0,1.0,-4307400.254999992,481729.7449999998,4789130.0,4789130,-0.8994118462017093,377.1265453972754,510,0.5529411764705883,-0.8237295380630962,-4954877.809999997,0.1797107572387055,0.9838657543228102,False
90,2.0,1.0,-2770788.3974999953,1859439.6025,4630228.0,4630228,-0.5984129501830138,364.6135916213875,510,0.5352941176470588,-0.5434591145378852,-4838330.8599999985,0.1977908571376839,0.9906853399011885,False
30,1.0,1.0,8499051.545000006,16354767.544999998,7855716.0,7855716,1.0818939413033777,618.6090243326246,510,0.47058823529411764,0.5864889492299978,-7139391.0124999955,0.2960724807616133,0.8562827373087316,False
30,4.0,1.0,-3040723.4749999945,-1267350.475,1773373.0,1773373,-1.7146553347772828,139.6466650917395,509,0.5245579567779961,-0.7850694573769305,-4337068.444999995,0.1757884878783675,0.9683501440475297,False
30,2.0,2.0,-2042254.9974999975,8081381.0025,10123636.0,5061818,-0.4034627474753137,398.5997322623829,510,0.43529411764705883,-0.22806569339653743,-6393374.409999996,0.26829970410570403,0.9209665381094303,False
30,2.0,0.0,8081381.002500003,8081381.0025,0.0,5061818,1.5965372525246864,398.5997322623829,510,0.5568627450980392,0.9034649148624545,-4055026.2600000016,0.26829970410570403,0.9209665381094303,False
