location,n,mean_dart,mean_dart_raw,median_dart,abs_dart,share_da_rich,t_hac,p,p_bh,discovery
PALACIOS_RN,12699,5.432275805181524,7.282977399795261,1.6899999999999977,8.846350000000013,0.681549728325065,7.371536492954195,1.6867257718187791e-13,1.6175700151742092e-10,True
RHESS2_ESS1,12699,5.434077486416257,-7.431561146546971,0.384999999999998,10.210783660130721,0.5988660524450744,6.912131955024065,4.774234336507981e-12,2.2892453643555767e-09,True
NF_BRP_RN,12699,2.5385148633750694,-4.59597547050949,0.370000000000001,6.457479348767619,0.5972911252854556,6.090264519833445,1.1272427740055612e-09,2.9771159364292177e-07,True
MEDILA_RN,12699,1.8385911213481383,2.08940054334987,0.384999999999998,5.091658465233483,0.5891015040554375,6.074756699864063,1.2417584719204246e-09,2.9771159364292177e-07,True
CSC_CSECG1_2,12699,1.354687562012757,0.8966857626584771,0.32500000000000284,5.276610177966768,0.5519332230884322,5.967939877715114,2.4026786361713436e-09,4.608337624176637e-07,True
GWEC_G1,12699,1.0195222812819913,-0.031069769273171212,0.13000000000000256,3.6003139577919527,0.5392550594535003,5.790210080529052,7.029844187675538e-09,1.0926727811489592e-06,True
WEC_WECG1,12699,1.748123706591071,0.04571600125994206,0.9400000000000048,5.579997633671942,0.6373730214977558,5.747805183182316,9.040932050824092e-09,1.0926727811489592e-06,True
X443ESRN,12699,1.6234668320340189,2.0246810772501775,0.297500000000003,4.438805827230491,0.5782345066540673,5.746423179008208,9.115101406873487e-09,1.0926727811489592e-06,True
FOXTROT_ALL,12699,-2.0617093590046456,-3.190637058036066,-0.3774999999999995,6.375611713520751,0.4217654933459328,-5.653093636084921,1.5758540091836763e-08,1.3898526780338283e-06,True
SPARTA_ALL,12699,-2.0617093590046456,-3.190637058036066,-0.3774999999999995,6.375611713520751,0.4217654933459328,-5.653093636084921,1.5758540091836763e-08,1.3898526780338283e-06,True
RDCAN_RDCNY1,12699,1.239116906843059,0.7488402630128357,0.43249999999999744,5.110728159697614,0.5661863138829829,5.634837028049528,1.7522396264871484e-08,1.3898526780338283e-06,True
LEONLCPCT1_2,12699,1.3718846208362867,1.7015259075517755,0.3299999999999983,4.364913646743838,0.582801795416962,5.610779805155368,2.0141691797285432e-08,1.3898526780338283e-06,True
LEONLCPCT3_4,12699,1.3718846208362867,1.7015259075517755,0.3299999999999983,4.364913646743838,0.582801795416962,5.610779805155368,2.0141691797285432e-08,1.3898526780338283e-06,True
POTSVIL_RN,12699,2.655828352626194,0.7263418379399952,0.5649999999999977,8.534655504370425,0.5772895503582959,5.609511767855221,2.0289820117282164e-08,1.3898526780338283e-06,True
BRAZ_WND_ALL,12699,1.2507281911961585,0.7319088117174579,0.47999999999999865,5.12738761319789,0.5708323490038586,5.593468140036611,2.2257808440538578e-08,1.423015886298433e-06,True
PAD1_ESS_RN,12699,1.2403550712654545,1.3671663123080555,0.2724999999999973,4.199479624379872,0.5729585006693441,5.300210781353565,1.1566906319293709e-07,6.932914475126666e-06,True
CALAVER_OWS1,12699,1.1418680801637924,1.2901303252224583,0.2625000000000002,4.058093247499803,0.5704386172139538,5.19871109890826,2.0067513635473174e-07,1.1320438574363985e-05,True
LZ_CPS,12699,1.1550502992361606,1.3244771241830064,0.2699999999999996,4.061264174344437,0.5742971887550201,5.1473114405961065,2.6424640484808626e-07,1.407846123607304e-05,True
CALAVER_OWS2,12699,1.1384348531380426,1.2973726277659658,0.2600000000000051,4.054113292385227,0.5705173635719348,5.129080213911812,2.9116126757364836e-07,1.4695981873848883e-05,True
CALAVER_JTD1,12699,1.1445264312150567,1.3221428852665567,0.254999999999999,4.072436644617686,0.5696511536341444,5.053288915759722,4.3426621692164027e-07,1.9831490572754904e-05,True
CALAVER_JTD2,12699,1.1445264312150567,1.3221428852665567,0.254999999999999,4.072436644617686,0.5696511536341444,5.053288915759722,4.3426621692164027e-07,1.9831490572754904e-05,True
