location,asset,mean_basis,std_basis,abs_basis,skew,spike_share,neg_share,peak_hour,trough_hour,diurnal_range,F1,F2,F3,F4,F5,F6,F7,F8,factor_r2,resid_std
7RNCHSLR_ALL,wind,1.5032812185466013,8.117104799125412,3.158345299604107,11.924018531377852,0.009595383479836274,0.17714554116620815,16,3,2.562995169082126,0.02800560168414286,0.0008201403916680412,0.05624444951014638,-0.009874324055249805,0.058436523828778134,0.01600798675917434,-0.030135982481536202,0.016327024998463717,0.7522047589366947,2.2363158281234274
ABINDUST_RN,other,1.3671409149615934,25.096949647874183,7.298937529739651,13.84154806334156,0.03596591290344226,0.3352345165402939,18,11,5.964518760195759,,,,,,,,,,
ADL_RN,other,1.8789975172784004,8.469274582054986,4.005359994631954,-5.330656175791491,0.01791585586794605,0.23116151110514663,15,6,8.822495974235103,0.04333314632222862,0.03314451815823014,-0.01331669102869143,-0.02854023934217359,-0.035869523107076556,-0.0020824911859482972,-0.018059937103173586,-0.000573756631452,0.9723939692594356,0.9923547952785847
AEEC,other,-7.526018922364625,13.13371564330875,9.128673421458766,1.6755096946738501,0.07971549352479367,0.7010668992820237,9,21,8.299355877616748,-0.022930573574258817,0.0004623088971541199,-0.06891782754679032,0.007791803943453607,0.02696713690882685,0.025790294095199243,-0.014511279595578797,0.09082276989765785,0.7736443126493051,5.045463858498969
AE_RN,other,-0.009195464000536802,8.952171995781939,3.037346842917533,-14.151836644175853,0.007917868885459303,0.27007984969469234,15,7,4.222608695652174,0.048760272526109406,0.002204052062280956,0.007138900062480302,0.008286832901767481,-0.01369870826635039,0.04281182812129941,0.01645426189690441,0.042309323615680794,0.9257875736542629,1.1515461782808136
AGUAYO_UNIT1,thermal,-3.9400872307589077,12.899255410346893,5.6651492987989,-0.9831810349519347,0.0428101724485003,0.48386230960209353,20,15,5.014090177133655,-0.037134071548605825,-0.012500076193105725,-0.028537522750318456,-0.010260111688827407,0.005487589775000856,-0.021290722221666544,0.06611208486491721,-0.028780167405690865,0.6853207488198663,5.5784967948667115
AJAXWIND_RN,wind,-4.50740454941958,9.86163026568013,5.993216801986177,4.04666316776676,0.031201771455411663,0.6148426491310475,7,16,4.178824476650564,-0.0404693096744455,-0.007364594385891432,-0.06183294580061047,-0.012027641174325567,0.021748336098714988,0.028842895612046768,-0.018305408272260598,0.02525406635883929,0.9620124883833691,1.4552857440958653
ALGOD_ALL_RN,other,-5.680399919479299,35.303945534273836,8.050827350197947,-21.9321067786583,0.052338455344561496,0.4763470442192847,9,19,16.969677938808374,0.033318648029402334,-0.05566476429808451,-0.010665438077055833,0.022963607201864217,0.0057022383888715444,-0.02132694201674501,-0.02136207990246719,0.0012111813403235805,0.9553000746465833,2.4724750260163293
ALP_BESS_RN,storage,10.72462121720459,23.598882356568968,15.003417432731665,2.479685036815474,0.17580352949070657,0.2594108568744548,22,15,29.680692431561994,-0.02898844202440448,-0.01995841638321123,0.05005951121330936,-0.012381395918086846,-0.04726546554351363,-0.010420953358120877,-0.004280862970726079,-0.02462052711186033,0.7051105755622455,11.965653674449896
ALVIN_RN,other,1.0819861772797423,10.199495855345226,4.191680869623566,-6.828972533109927,0.024022008991478227,0.2714218613701939,15,7,7.708309178743962,0.04197336654674957,0.013137936658098055,-0.004988428004730004,-0.011050178415004774,-0.020977036766071766,0.01858312537588175,0.009681377043505746,0.029418334074687663,0.6929310831932731,3.6046834014929714
