location,n,mean_dart,mean_dart_raw,median_dart,abs_dart,share_da_rich,t_hac,p,p_bh,discovery
PALACIOS_RN,12699,6.747693983778253,9.419809827545475,4.27,14.007903220726043,0.7069060555949287,7.197572027721395,6.129417275998507e-13,5.884240584958566e-10,True
RHESS2_ESS1,12699,7.342504567288827,-5.294728718796753,2.707500000000003,18.081562815969825,0.6491849751948973,5.608443944457202,2.041537990047796e-08,9.79938235222942e-06,True
MEDILA_RN,12699,3.030445247657297,4.226232971100087,2.447499999999998,11.632359540121271,0.634144420820537,4.992506223221056,5.960079268059626e-07,0.0001410609580174086,True
NF_BRP_RN,12699,4.12260210646508,-2.4591430427592735,2.637500000000001,13.540022517521068,0.6443027010000787,4.967784675499397,6.772209902708737e-07,0.0001410609580174086,True
SIL_SILAS_10,12699,2.9916780848885756,-2.1245231908024267,1.7375000000000007,11.697823970391369,0.5836680053547524,4.894406770969345,9.860270538863765e-07,0.0001410609580174086,True
SIL_SILAS_6,12699,2.985796519410979,-2.1311489093629423,1.7374999999999972,11.696697897472243,0.5835892589967714,4.886092385270376,1.0285694855436045e-06,0.0001410609580174086,True
SIL_SILAS_9,12699,2.985796519410979,-2.1311489093629423,1.7374999999999972,11.696697897472243,0.5835892589967714,4.886092385270376,1.0285694855436045e-06,0.0001410609580174086,True
CSC_CSECG1_2,12699,2.5964734034175945,3.0335181904086936,2.4575000000000014,11.496236557996694,0.6165839829907866,4.781882798073944,1.7366092491862748e-06,0.00020839310990235297,True
POTSVIL_RN,12699,3.9615616072131696,2.8631742656902124,2.6774999999999984,15.183338369162929,0.6384754705094889,4.63878340897263,3.5046609945448237e-06,0.00023640880339643105,True
CBEC_CC2,12699,2.0369434286164303,2.8434640522875814,1.8149999999999977,9.244245869753525,0.6180014174344437,4.6226118734491966,3.7893832787613545e-06,0.00023640880339643105,True
CBEC_ALL,12699,2.036941066225691,2.843461689896842,1.8149999999999977,9.244246657217106,0.6180014174344437,4.622606483073203,3.789481780730373e-06,0.00023640880339643105,True
CBEC_CC1,12699,2.036941066225691,2.843461689896842,1.8149999999999977,9.244246657217106,0.6180014174344437,4.622606483073203,3.789481780730373e-06,0.00023640880339643105,True
BRAZ_WND_ALL,12699,2.5125430821324555,2.868741239467675,2.55,11.448688904638164,0.6207575399637767,4.610403834111869,4.018875159581473e-06,0.00023640880339643105,True
TGS_GT01,12699,1.9748087880935548,2.7610101189070004,1.7725000000000009,9.155081675722501,0.6158752657689582,4.567796872210005,4.928773213011781e-06,0.00023640880339643105,True
WEC_WECG1,12699,2.879998633750697,2.1825484290101587,2.7375000000000007,12.321367710055917,0.6388692022993937,4.554680546181575,5.2465247036711915e-06,0.00023640880339643105,True
X443ESRN,12699,2.884065245294907,4.161513505000394,2.1999999999999957,11.173476246161117,0.6267422631703283,4.5432305204341406,5.539861238955398e-06,0.00023640880339643105,True
RDCAN_RDCNY1,12699,2.4791644932671884,2.885672690763052,2.5275,11.457228773919207,0.6199700763839673,4.542084160172443,5.570079437936806e-06,0.00023640880339643105,True
ANDMDSLR_ALL,12699,2.2626130403968876,3.027638987321837,1.7124999999999986,11.143743908969217,0.5848492007244664,4.540200618882267,5.620072721859124e-06,0.00023640880339643105,True
DERMOTT_ALL,12699,2.3451606661941913,3.095809709425939,1.6300000000000001,11.444889747224193,0.5806756437514765,4.537725614480185,5.686418046674142e-06,0.00023640880339643105,True
ASCK_SLR_RN,12699,2.1505863099456675,2.8874125915426414,1.9525000000000006,11.096451905661866,0.6016221749744074,4.529258113128066,5.919115433933058e-06,0.00023640880339643105,True
JADE_SLR_ALL,12699,2.3227403220726073,3.084218245531144,1.6250000000000002,11.405331463107334,0.5808331364674384,4.528825306871722,5.931251053039272e-06,0.00023640880339643105,True
AQUI_ALL,12699,2.150254000314988,2.887080281911962,1.9525000000000006,11.096406232774239,0.6016221749744074,4.528550754055256,5.938961683847614e-06,0.00023640880339643105,True
MERCURY_ALL,12699,2.14523675486259,2.8805970942593904,1.942499999999999,11.095799570832352,0.6011496968265218,4.520743069229256,6.1622943217532955e-06,0.00023640880339643105,True
